ideal,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
670,670,670,670,670,670,670,670,670,670,670
812,831,831,831,831,831,831,831,832,832,832
926,926,926,926,926,926,926,926,926,926,926
998,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
998,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
926,926,926,926,926,926,926,926,926,926,926
813,830,830,830,830,830,830,830,829,829,829
670,670,670,670,670,670,670,670,670,670,670
512,511,511,511,511,511,511,510,510,510,510
353,353,353,353,353,353,353,353,353,353,353
211,192,192,192,192,192,192,192,191,191,191
97,97,97,97,97,97,97,97,97,97,97
25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
97,97,97,97,97,97,97,97,97,97,97
210,192,193,193,193,193,193,193,193,194,194
353,353,353,353,353,353,353,353,353,353,353
511,511,512,512,512,512,512,512,513,513,513
670,670,670,670,670,670,670,670,670,670,670
812,830,831,831,831,831,831,831,831,832,832
926,926,926,926,926,926,926,926,926,926,926
998,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
999,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
926,926,926,926,926,926,926,926,926,926,926
813,831,830,830,830,830,830,830,830,829,829
670,670,670,670,670,670,670,670,670,670,670
512,512,511,511,511,511,511,511,510,510,510
354,354,354,354,354,354,354,354,354,354,354
211,193,192,192,192,192,192,192,192,192,191
97,97,97,97,97,97,97,97,97,97,97
25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
97,97,97,97,97,97,97,97,97,97,97
210,192,192,193,193,193,193,193,193,193,194
353,353,353,353,353,353,353,353,353,353,353
511,511,511,512,512,512,512,512,512,513,513
669,669,669,669,669,669,669,669,669,669,669
812,830,830,831,831,831,831,831,831,831,832
925,925,925,925,925,925,925,925,925,925,925
998,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
999,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
926,926,926,926,926,926,926,926,926,926,926
813,831,831,830,830,830,830,830,830,830,830
670,670,670,670,670,670,670,670,670,670,670
512,512,512,512,511,511,511,511,511,510,510
354,354,354,354,354,354,354,354,354,354,354
211,193,193,193,192,192,192,192,192,192,192
98,98,98,98,98,98,98,98,98,98,98
25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
97,97,97,97,97,97,97,97,97,97,97
210,192,192,192,193,193,193,193,193,193,193
353,353,353,353,353,353,353,353,353,353,353
511,511,511,511,512,512,512,512,512,512,513
669,669,669,669,669,669,669,669,669,669,669
812,830,830,830,831,831,831,831,831,831,831
925,925,925,925,925,925,925,925,925,925,925
